zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-09 17:20:02,248,1341
19105,2020-09-09 17:20:02,NA,5
19135,2020-09-09 17:20:02,80,607
19116,2020-09-09 17:20:02,121,726
19111,2020-09-09 17:20:02,247,1294
19139,2020-09-09 17:20:02,287,829
19131,2020-09-09 17:20:02,293,912
19136,2020-09-09 17:20:02,151,1054
19120,2020-09-09 17:20:02,289,1449
19125,2020-09-09 17:20:02,77,291
19121,2020-09-09 17:20:02,167,617
19141,2020-09-09 17:20:02,187,559
19107,2020-09-09 17:20:02,62,231
19138,2020-09-09 17:20:02,142,626
19154,2020-09-09 17:20:02,66,634
19145,2020-09-09 17:20:02,158,812
19140,2020-09-09 17:20:02,398,1069
19152,2020-09-09 17:20:02,178,733
19149,2020-09-09 17:20:02,166,1047
19134,2020-09-09 17:20:02,248,916
19147,2020-09-09 17:20:02,71,420
19150,2020-09-09 17:20:02,94,479
19148,2020-09-09 17:20:02,201,896
19123,2020-09-09 17:20:02,89,328
19126,2020-09-09 17:20:02,156,465
19102,2020-09-09 17:20:02,5,68
19129,2020-09-09 17:20:02,25,133
19115,2020-09-09 17:20:02,135,858
19101,2020-09-09 17:20:02,10,28
19119,2020-09-09 17:20:02,152,451
19132,2020-09-09 17:20:02,233,596
19146,2020-09-09 17:20:02,128,603
19137,2020-09-09 17:20:02,11,100
19114,2020-09-09 17:20:02,95,537
19153,2020-09-09 17:20:02,53,223
19104,2020-09-09 17:20:02,225,582
19122,2020-09-09 17:20:02,95,399
19130,2020-09-09 17:20:02,88,389
19143,2020-09-09 17:20:02,326,1184
19151,2020-09-09 17:20:02,149,677
19106,2020-09-09 17:20:02,13,107
19144,2020-09-09 17:20:02,260,764
19118,2020-09-09 17:20:02,49,150
19133,2020-09-09 17:20:02,215,499
19128,2020-09-09 17:20:02,48,456
19103,2020-09-09 17:20:02,60,224
19127,2020-09-09 17:20:02,NA,55
19142,2020-09-09 17:20:02,178,648
